;Kingdom;Phylum;Class;Order;Family;Genus
ASV_7970;Bacteria;Acidobacteriota;Subgroup 21;NA;NA;NA
ASV_7971;Bacteria;Chloroflexi;KD4-96;NA;NA;NA
ASV_7972;Bacteria;NA;NA;NA;NA;NA
ASV_7973;Bacteria;Marinimicrobia (SAR406 clade);NA;NA;NA;NA
ASV_7974;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;NA
ASV_7975;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7976;Bacteria;NB1-j;NA;NA;NA;NA
ASV_7977;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NA
ASV_7978;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfopila
ASV_7979;Bacteria;NB1-j;NA;NA;NA;NA
ASV_7980;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;NA;NA
ASV_7981;Bacteria;Marinimicrobia (SAR406 clade);NA;NA;NA;NA
ASV_7982;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_7983;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA
ASV_7984;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;FS140-16B-02 marine group
ASV_7985;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Flammeovirgaceae;Flammeovirga
ASV_7986;Bacteria;Proteobacteria;Gammaproteobacteria;Piscirickettsiales;Piscirickettsiaceae;Candidatus Endoecteinascidia
ASV_7987;Bacteria;Planctomycetota;Pla3 lineage;NA;NA;NA
ASV_7988;Bacteria;NA;NA;NA;NA;NA
ASV_7989;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7990;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;NA
ASV_7991;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Bosea
ASV_7992;Bacteria;NA;NA;NA;NA;NA
ASV_7993;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium
ASV_7994;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
ASV_7995;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;NA
ASV_7996;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;NA
ASV_7997;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Reichenbachiella
ASV_7998;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
ASV_7999;Bacteria;NA;NA;NA;NA;NA
ASV_8000;Bacteria;Acidobacteriota;Subgroup 22;NA;NA;NA
ASV_8001;Bacteria;Acidobacteriota;AT-s3-28;NA;NA;NA
ASV_8002;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;NA
ASV_8003;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum
ASV_8004;Bacteria;NA;NA;NA;NA;NA
ASV_8005;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;NA
ASV_8006;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_8007;Bacteria;NB1-j;NA;NA;NA;NA
ASV_8008;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;NA
ASV_8009;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA
ASV_8010;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium
ASV_8011;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN-169 marine group;NA
ASV_8012;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_8013;Bacteria;SAR324 clade(Marine group B);NA;NA;NA;NA
ASV_8014;Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus
ASV_8015;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
ASV_8016;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium
ASV_8017;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA
ASV_8018;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA
ASV_8019;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia
ASV_8020;Eukaryota;NA;NA;NA;NA;NA
ASV_8021;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_8022;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula
ASV_8023;Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;NA;NA
ASV_8024;Bacteria;Dependentiae;Babeliae;Babeliales;Babeliaceae;NA
ASV_8025;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_8026;Bacteria;NA;NA;NA;NA;NA
