;Final_name
ASV_149;ASV_149_Proteobacteria_Woeseiaceae_JTB255 marine benthic group
ASV_150;ASV_150_Myxococcota_NA_NA
ASV_151;ASV_151_Chloroflexi_NA_NA
ASV_152;ASV_152_Crenarchaeota_Nitrosopumilaceae_NA
ASV_153;ASV_153_Dadabacteria_NA_NA
ASV_154;ASV_154_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_155;ASV_155_Chloroflexi_NA_NA
ASV_156;ASV_156_Chloroflexi_NA_NA
ASV_157;ASV_157_Chloroflexi_Caldilineaceae_NA
ASV_158;ASV_158_Proteobacteria_NA_NA
ASV_159;ASV_159_Acidobacteriota_NA_NA
ASV_160;ASV_160_Chloroflexi_A4b_NA
ASV_161;ASV_161_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_162;ASV_162_Proteobacteria_Woeseiaceae_JTB255 marine benthic group
ASV_163;ASV_163_Bacteroidota_NA_NA
ASV_164;ASV_164_Acidobacteriota_NA_NA
ASV_165;ASV_165_Chloroflexi_Caldilineaceae_NA
ASV_166;ASV_166_Chloroflexi_Caldilineaceae_NA
ASV_167;ASV_167_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_168;ASV_168_Entotheonellaeota_Entotheonellaceae_NA
ASV_169;ASV_169_Nitrospinota_NA_NA
ASV_170;ASV_170_Acidobacteriota_NA_NA
ASV_171;ASV_171_Dadabacteria_NA_NA
ASV_172;ASV_172_Chloroflexi_NA_NA
ASV_173;ASV_173_Proteobacteria_NA_NA
ASV_174;ASV_174_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_175;ASV_175_Proteobacteria_NA_NA
ASV_176;ASV_176_Cyanobacteria_Cyanobiaceae_Synechococcus CC9902
ASV_177;ASV_177_Proteobacteria_Nitrosococcaceae_AqS1
ASV_178;ASV_178_Acidobacteriota_NA_NA
ASV_179;ASV_179_Chloroflexi_NA_NA
ASV_180;ASV_180_PAUC34f_NA_NA
ASV_181;ASV_181_Proteobacteria_NA_NA
ASV_182;ASV_182_Chloroflexi_NA_NA
ASV_183;ASV_183_Chloroflexi_NA_NA
ASV_184;ASV_184_Dadabacteria_NA_NA
ASV_185;ASV_185_Proteobacteria_NA_NA
ASV_186;ASV_186_Acidobacteriota_NA_NA
ASV_187;ASV_187_Chloroflexi_Caldilineaceae_NA
ASV_188;ASV_188_Chloroflexi_NA_NA
ASV_189;ASV_189_Proteobacteria_NA_NA
ASV_190;ASV_190_Myxococcota_NA_NA
ASV_191;ASV_191_Chloroflexi_NA_NA
ASV_192;ASV_192_Chloroflexi_NA_NA
ASV_193;ASV_193_Chloroflexi_NA_NA
ASV_194;ASV_194_Chloroflexi_NA_NA
ASV_195;ASV_195_Proteobacteria_Unknown Family_Endothiovibrio
ASV_196;ASV_196_Proteobacteria_NA_NA
ASV_197;ASV_197_Proteobacteria_Woeseiaceae_JTB255 marine benthic group
ASV_198;ASV_198_Acidobacteriota_NA_NA
ASV_199;ASV_199_Chloroflexi_NA_NA
ASV_200;ASV_200_Proteobacteria_Endozoicomonadaceae_Endozoicomonas
ASV_201;ASV_201_Acidobacteriota_NA_NA
ASV_202;ASV_202_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_203;ASV_203_Planctomycetota_Phycisphaeraceae_FS140-16B-02 marine group
ASV_204;ASV_204_Acidobacteriota_NA_NA
ASV_205;ASV_205_Acidobacteriota_NA_NA
ASV_206;ASV_206_Acidobacteriota_NA_NA
ASV_207;ASV_207_Chloroflexi_Caldilineaceae_NA
ASV_208;ASV_208_Acidobacteriota_NA_NA
ASV_209;ASV_209_Planctomycetota_Pirellulaceae_Rubripirellula
ASV_210;ASV_210_Entotheonellaeota_Entotheonellaceae_NA
ASV_211;ASV_211_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_212;ASV_212_Chloroflexi_NA_NA
ASV_213;ASV_213_Chloroflexi_NA_NA
ASV_214;ASV_214_Proteobacteria_NA_NA
ASV_215;ASV_215_Proteobacteria_Pseudoalteromonadaceae_Pseudoalteromonas
ASV_216;ASV_216_Proteobacteria_NA_NA
ASV_217;ASV_217_Proteobacteria_EC94_NA
ASV_218;ASV_218_Acidobacteriota_NA_NA
ASV_219;ASV_219_Chloroflexi_NA_NA
ASV_220;ASV_220_PAUC34f_NA_NA
ASV_221;ASV_221_Myxococcota_NA_NA
ASV_222;ASV_222_Proteobacteria_Clade I_Clade Ia
ASV_223;ASV_223_Acidobacteriota_NA_NA
ASV_224;ASV_224_Chloroflexi_Caldilineaceae_NA
ASV_225;ASV_225_Nitrospirota_Nitrospiraceae_Nitrospira
ASV_226;ASV_226_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_227;ASV_227_Proteobacteria_Rhodobacteraceae_HIMB11
ASV_228;ASV_228_Crenarchaeota_Nitrosopumilaceae_NA
ASV_229;ASV_229_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_230;ASV_230_Proteobacteria_NA_NA
ASV_231;ASV_231_PAUC34f_NA_NA
ASV_232;ASV_232_Crenarchaeota_Nitrosopumilaceae_NA
ASV_233;ASV_233_PAUC34f_NA_NA
ASV_234;ASV_234_Proteobacteria_Nitrosococcaceae_AqS1
ASV_235;ASV_235_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_236;ASV_236_Proteobacteria_NA_NA
ASV_237;ASV_237_Acidobacteriota_Thermoanaerobaculaceae_Subgroup 10
ASV_238;ASV_238_Chloroflexi_NA_NA
ASV_239;ASV_239_Acidobacteriota_NA_NA
ASV_240;ASV_240_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_241;ASV_241_Chloroflexi_NA_NA
ASV_242;ASV_242_Acidobacteriota_NA_NA
ASV_243;ASV_243_Planctomycetota_Pirellulaceae_NA
ASV_244;ASV_244_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_245;ASV_245_Acidobacteriota_NA_NA
ASV_246;ASV_246_Entotheonellaeota_Entotheonellaceae_NA
ASV_247;ASV_247_Chloroflexi_Caldilineaceae_NA
ASV_248;ASV_248_Chloroflexi_NA_NA
ASV_249;ASV_249_Chloroflexi_NA_NA
ASV_250;ASV_250_Proteobacteria_Parvibaculaceae_NA
ASV_251;ASV_251_Acidobacteriota_Thermoanaerobaculaceae_Subgroup 10
ASV_252;ASV_252_SAR324 clade(Marine group B)_NA_NA
ASV_253;ASV_253_Entotheonellaeota_Entotheonellaceae_NA
ASV_254;ASV_254_Proteobacteria_Rhodobacteraceae_Albidovulum
ASV_255;ASV_255_Chloroflexi_NA_NA
ASV_256;ASV_256_Acidobacteriota_NA_NA
ASV_257;ASV_257_Chloroflexi_NA_NA
ASV_258;ASV_258_Myxococcota_NA_NA
ASV_259;ASV_259_Chloroflexi_NA_NA
ASV_260;ASV_260_Crenarchaeota_Nitrosopumilaceae_NA
ASV_261;ASV_261_Proteobacteria_Mitochondria_NA
ASV_262;ASV_262_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_263;ASV_263_Proteobacteria_NA_NA
ASV_264;ASV_264_Proteobacteria_Pseudoalteromonadaceae_Pseudoalteromonas
ASV_265;ASV_265_Chloroflexi_NA_NA
ASV_266;ASV_266_Chloroflexi_NA_NA
ASV_267;ASV_267_PAUC34f_NA_NA
ASV_268;ASV_268_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_269;ASV_269_Chloroflexi_NA_NA
ASV_270;ASV_270_PAUC34f_NA_NA
ASV_271;ASV_271_Proteobacteria_Nitrosococcaceae_AqS1
ASV_272;ASV_272_Proteobacteria_PS1 clade_NA
ASV_273;ASV_273_Chloroflexi_NA_NA
ASV_274;ASV_274_Chloroflexi_NA_NA
ASV_275;ASV_275_Acidobacteriota_NA_NA
ASV_276;ASV_276_Acidobacteriota_NA_NA
ASV_277;ASV_277_Proteobacteria_Woeseiaceae_JTB255 marine benthic group
ASV_278;ASV_278_Chloroflexi_NA_NA
ASV_279;ASV_279_Nitrospirota_Nitrospiraceae_Nitrospira
ASV_280;ASV_280_Chloroflexi_Caldilineaceae_NA
ASV_281;ASV_281_Crenarchaeota_Nitrosopumilaceae_NA
ASV_282;ASV_282_Entotheonellaeota_Entotheonellaceae_NA
ASV_283;ASV_283_Bacteroidota_Cryomorphaceae_NA
ASV_284;ASV_284_AncK6_NA_NA
ASV_285;ASV_285_SAR324 clade(Marine group B)_NA_NA
ASV_286;ASV_286_Proteobacteria_KI89A clade_NA
ASV_287;ASV_287_Chloroflexi_NA_NA
ASV_288;ASV_288_Chloroflexi_NA_NA
ASV_289;ASV_289_PAUC34f_NA_NA
ASV_290;ASV_290_Acidobacteriota_NA_NA
ASV_291;ASV_291_Spirochaetota_Leptospiraceae_NA
ASV_292;ASV_292_Chloroflexi_A4b_NA
ASV_293;ASV_293_Proteobacteria_Nitrosococcaceae_AqS1
ASV_294;ASV_294_Acidobacteriota_NA_NA
ASV_295;ASV_295_Chloroflexi_NA_NA
ASV_296;ASV_296_Acidobacteriota_NA_NA
ASV_297;ASV_297_Chloroflexi_NA_NA
ASV_298;ASV_298_Nitrospirota_Nitrospiraceae_Nitrospira
ASV_299;ASV_299_Chloroflexi_NA_NA
ASV_300;ASV_300_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_301;ASV_301_Chloroflexi_A4b_NA
ASV_302;ASV_302_Chloroflexi_NA_NA
ASV_303;ASV_303_Acidobacteriota_NA_NA
ASV_304;ASV_304_Acidobacteriota_NA_NA
ASV_305;ASV_305_Proteobacteria_Nitrosococcaceae_NA
ASV_306;ASV_306_Chloroflexi_NA_NA
ASV_307;ASV_307_Chloroflexi_NA_NA
ASV_308;ASV_308_Spirochaetota_Leptospiraceae_NA
ASV_309;ASV_309_Proteobacteria_Nitrosococcaceae_AqS1
ASV_310;ASV_310_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_311;ASV_311_Nitrospirota_Nitrospiraceae_Nitrospira
ASV_312;ASV_312_Chloroflexi_NA_NA
ASV_313;ASV_313_Proteobacteria_Nitrosococcaceae_FS142-36B-02
ASV_314;ASV_314_Proteobacteria_NA_NA
ASV_315;ASV_315_Acidobacteriota_NA_NA
ASV_316;ASV_316_Planctomycetota_Phycisphaeraceae_CL500-3
ASV_317;ASV_317_Proteobacteria_NA_NA
ASV_318;ASV_318_Acidobacteriota_NA_NA
ASV_319;ASV_319_Acidobacteriota_NA_NA
ASV_320;ASV_320_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_321;ASV_321_Proteobacteria_Pseudoalteromonadaceae_Pseudoalteromonas
ASV_322;ASV_322_Chloroflexi_NA_NA
ASV_323;ASV_323_Proteobacteria_NA_NA
ASV_324;ASV_324_Entotheonellaeota_Entotheonellaceae_NA
ASV_325;ASV_325_Chloroflexi_NA_NA
ASV_326;ASV_326_Bacteroidota_Rhodothermaceae_NA
ASV_327;ASV_327_Chloroflexi_NA_NA
ASV_328;ASV_328_PAUC34f_NA_NA
ASV_329;ASV_329_Proteobacteria_Nitrosococcaceae_AqS1
ASV_330;ASV_330_Proteobacteria_Clade I_Clade Ib
ASV_331;ASV_331_Proteobacteria_Nitrosococcaceae_FS142-36B-02
ASV_332;ASV_332_Proteobacteria_Nitrosococcaceae_FS142-36B-02
ASV_333;ASV_333_Myxococcota_NA_NA
ASV_334;ASV_334_Crenarchaeota_Nitrosopumilaceae_Cenarchaeum
ASV_335;ASV_335_Proteobacteria_Alteromonadaceae_Alteromonas
ASV_336;ASV_336_Proteobacteria_NA_NA
ASV_337;ASV_337_Cyanobacteria_Cyanobiaceae_Prochlorococcus MIT9313
ASV_338;ASV_338_Chloroflexi_NA_NA
ASV_339;ASV_339_Bacteroidota_Cyclobacteriaceae_Fulvitalea
ASV_340;ASV_340_Chloroflexi_Caldilineaceae_NA
ASV_341;ASV_341_Acidobacteriota_NA_NA
ASV_342;ASV_342_Acidobacteriota_NA_NA
ASV_343;ASV_343_Nanoarchaeota_SCGC AAA011-D5_NA
ASV_344;ASV_344_Acidobacteriota_NA_NA
ASV_345;ASV_345_Proteobacteria_NA_NA
ASV_346;ASV_346_Chloroflexi_A4b_NA
ASV_347;ASV_347_Dadabacteria_NA_NA
ASV_348;ASV_348_Proteobacteria_NA_NA
ASV_349;ASV_349_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_350;ASV_350_Gemmatimonadota_NA_NA
ASV_351;ASV_351_SAR324 clade(Marine group B)_NA_NA
ASV_352;ASV_352_Chloroflexi_NA_NA
ASV_353;ASV_353_Chloroflexi_NA_NA
ASV_354;ASV_354_Chloroflexi_NA_NA
ASV_355;ASV_355_Chloroflexi_NA_NA
ASV_356;ASV_356_Crenarchaeota_Nitrosopumilaceae_NA
ASV_357;ASV_357_Proteobacteria_NA_NA
ASV_358;ASV_358_Deinococcota_Trueperaceae_Truepera
ASV_359;ASV_359_PAUC34f_NA_NA
ASV_360;ASV_360_Chloroflexi_NA_NA
ASV_361;ASV_361_Proteobacteria_Rhodobacteraceae_NA
ASV_362;ASV_362_Proteobacteria_NA_NA
ASV_363;ASV_363_Proteobacteria_Magnetospiraceae_NA
ASV_364;ASV_364_Proteobacteria_Unknown Family_Endothiovibrio
ASV_365;ASV_365_Chloroflexi_NA_NA
ASV_366;ASV_366_Proteobacteria_Nitrosococcaceae_MSB-1D1
ASV_367;ASV_367_Entotheonellaeota_Entotheonellaceae_NA
ASV_368;ASV_368_Crenarchaeota_Nitrosopumilaceae_Cenarchaeum
ASV_369;ASV_369_Entotheonellaeota_Entotheonellaceae_NA
ASV_370;ASV_370_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_371;ASV_371_Elusimicrobiota_NA_NA
ASV_372;ASV_372_Entotheonellaeota_Entotheonellaceae_NA
ASV_373;ASV_373_Myxococcota_NA_NA
ASV_374;ASV_374_Actinobacteriota_NA_NA
ASV_375;ASV_375_Chloroflexi_NA_NA
ASV_376;ASV_376_Chloroflexi_A4b_NA
ASV_377;ASV_377_Acidobacteriota_NA_NA
ASV_378;ASV_378_PAUC34f_NA_NA
ASV_379;ASV_379_Proteobacteria_NA_NA
ASV_380;ASV_380_Cyanobacteria_Cyanobiaceae_Cyanobium PCC-6307
ASV_381;ASV_381_Verrucomicrobiota_Puniceicoccaceae_Cerasicoccus
ASV_382;ASV_382_PAUC34f_NA_NA
ASV_383;ASV_383_Proteobacteria_NA_NA
ASV_384;ASV_384_Proteobacteria_NA_NA
ASV_385;ASV_385_Chloroflexi_NA_NA
ASV_386;ASV_386_Verrucomicrobiota_Puniceicoccaceae_NA
ASV_387;ASV_387_Acidobacteriota_NA_NA
