row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
1156;1338.89659;670.45557;1201.68;;;1156_670.45557_1201.68;0.0083546;1.0934;1.222;;;;
2185;178.06032;179.06759;1130.82;;;2185_179.06759_1130.82;0.0076368;0.49898;0.45931;;;;
1496;595.49891;596.50619;1342.56;;;1496_596.50619_1342.56;0.0032601;0.2892;0.25641;-286.6340626;C33H65N5O4;null;PubChem:(58040624)
1429;1058.74542;530.37999;1314.1;;;1429_530.37999_1314.1;0.0022314;0.8621;1.0492;;;;
1498;556.4288;557.43608;1345.13;;;1498_557.43608_1345.13;0.00167;0.2967;0.28819;;;;
1222;148.01423;149.02151;1237.41;;;1222_149.02151_1237.41;0.0007799;0.57183;0.043837;;;;
381;235.01525;236.02253;69.57;(1R,4S,5S,6S)-4-Amino-2-thiabicyclo[3.1.0]hexane-4,6-dicarboxylic acid 2,2-dioxide;;381_236.02253_69.57;;;;;;;
2270;348.22801;349.23529;1200.25;(1S,4AR,5S)-5-[(E)-5-Methoxy-3-methyl-5-oxopent-3-enyl]-1,4a-dimethyl-6-methylidene-3,4,5,7,8,8a-hexahydro-2H-naphthalene-1-carboxylic acid;;2270_349.23529_1200.25;;0.8275;0.57042;;;;
604;159.1724;160.17968;465.55;(2-{[2-(Dimethylamino)ethyl]amino}ethyl)dimethylamine;;604_160.17968_465.55;;;;;;;
645;159.17256;160.17984;498.49;(2-{[2-(Dimethylamino)ethyl]amino}ethyl)dimethylamine;;645_160.17984_498.49;;;;;;;
758;159.17203;160.17931;632.64;(2-{[2-(Dimethylamino)ethyl]amino}ethyl)dimethylamine;;758_160.17931_632.64;;;;;;;
1900;159.17279;160.18006;566.17;(2-{[2-(Dimethylamino)ethyl]amino}ethyl)dimethylamine;;1900_160.18006_566.17;;;;;;;
2305;212.13223;213.1395;1227.95;(2-Methylphenyl)-N-(4-pyridinylmethyl)methanamine;;2305_213.1395_1227.95;;1.6533;0.30856;;;;
2324;212.13001;213.13729;1245.33;(2-Methylphenyl)-N-(4-pyridinylmethyl)methanamine;;2324_213.13729_1245.33;;0.4753;0.24679;;;;
2355;212.13006;213.13733;1266.4;(2-Methylphenyl)-N-(4-pyridinylmethyl)methanamine;;2355_213.13733_1266.4;;0.27367;0.72069;;;;
2398;212.13026;213.13754;1294.19;(2-Methylphenyl)-N-(4-pyridinylmethyl)methanamine;;2398_213.13754_1294.19;;0.50725;1.361;;;;
2306;212.10389;213.11117;1229.09;(2R,3R)-(-)-2-Benzyloxy-1,3,4-butanetriol;;2306_213.11117_1229.09;;;;;;;
2326;212.10314;213.11042;1245.6;(2R,3R)-(-)-2-Benzyloxy-1,3,4-butanetriol;;2326_213.11042_1245.6;;0.7666;1.2978;;;;
2345;212.10411;213.11138;1259.63;(2R,3R)-(-)-2-Benzyloxy-1,3,4-butanetriol;;2345_213.11138_1259.63;;1.3411;0.66;;;;
2391;212.10505;213.11233;1287.68;(2R,3R)-(-)-2-Benzyloxy-1,3,4-butanetriol;;2391_213.11233_1287.68;;0.45548;0.68304;;;;
2424;212.10473;213.112;1303.57;(2R,3R)-(-)-2-Benzyloxy-1,3,4-butanetriol;;2424_213.112_1303.57;;1.0819;1.0685;;;;
2474;212.10525;213.11253;1323.33;(2R,3R)-(-)-2-Benzyloxy-1,3,4-butanetriol;;2474_213.11253_1323.33;;2.8263;0.97149;;;;
2503;212.10457;213.11185;1336.19;(2R,3R)-(-)-2-Benzyloxy-1,3,4-butanetriol;;2503_213.11185_1336.19;;0.75421;1.2132;;;;
2580;212.10521;213.11249;1364.56;(2R,3R)-(-)-2-Benzyloxy-1,3,4-butanetriol;;2580_213.11249_1364.56;;1.179;0.44471;;;;
937;578.28353;579.29081;990.46;(4E,10E)-13,21-Dihydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,10,18-tetraen-9-yl carbamate;;937_579.29081_990.46;;;;;;;
970;284.23242;285.2397;1032.7;(6E)-Heptadeca-6,16-diene-1,2,4-triol;;970_285.2397_1032.7;;;;;;;
