;Code;ID_Samples;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Comp 1;Comp 2;Comp 3;Comp 4;Comp 5;Comp 6;Comp 7;Comp 8
449_Verrucocoeloidea_liberatorii;Vl.4;CAO_449;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;9.5528;-1.7586;-0.099571;1.4363;-2.1141;-10.093;-5.0955;0.51805
450_Verrucocoeloidea_liberatorii;Vl.5;CAO_450;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;4.398;1.4857;3.5119;1.6042;0.29854;-3.9082;1.4563;-7.3681
451_Cyrtaulon_sigsbeei_or_Verrucocoeloidea_liberatorii;Vl.6;CAO_451;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;9.1097;-5.4819;9.287;-5.5485;2.2093;0.0075133;-3.9495;3.9979
452_Conorete_pourtalesi;Cp.3;CAO_452;262;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;10.414;-4.6201;5.5899;-6.4882;1.6547;-0.071551;-1.3812;1.7078
454_Conorete_pourtalesi;Cp.4;CAO_454;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;7.9885;-8.4182;14.51;-1.6443;5.224;-7.6444;3.3476;-1.3856
455_Conorete_pourtalesi;Cp.5;CAO_455;262;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;6.2351;0.67037;1.1678;-0.11122;-0.36634;2.0942;4.357;3.2828
580_Dictyoplax_lecus;Dl.5;CAO_580;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;4.8268;-0.1979;1.4514;5.1163;5.2013;10.035;-0.12998;-0.90462
581_Verrucocoeloidea_liberatorii;Vl.7;CAO_581;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;4.5694;-7.8365;-1.6002;-6.454;3.2738;8.3679;1.4895;4.0479
582_Verrucocoeloidea_liberatorii;Vl.8;CAO_582;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;6.0153;-7.9447;0.12741;-8.9268;-4.1937;-1.445;-8.5768;-1.4841
583_Verrucocoeloidea_liberatorii;Vl.9;CAO_583;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;3.058;-7.9559;2.2183;-4.5304;0.87569;2.6315;-3.3097;-3.0106
584_Dactylocalyx_pumiceus;Dp.5;CAO_584;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;5.1113;-10.455;-4.1198;6.3165;4.8422;-7.2173;5.7994;5.7719
585_Dactylocalyx_pumiceus;Dp.6;CAO_585;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;2.1742;-5.8503;-5.9468;7.5971;1.3419;-2.2942;-5.8338;5.0238
586_Dactylocalyx_pumiceus;Dp.7;CAO_586;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;3.1109;-5.8577;-5.6773;5.368;-2.7232;-6.7647;-0.085021;1.0826
587_Dactylocalyx_pumiceus;Dp.8;CAO_587;132;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;1.0782;-5.3826;-2.9383;5.2415;-2.807;0.89775;0.20961;3.5306
588_Dactylocalyx_pumiceus;Dp.9;CAO_588;144;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;1.2979;-0.86736;-8.695;2.7785;-6.1454;-6.7135;0.88123;-0.67875
590_Conorete_pourtalesi;Cp.6;CAO_590;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;6.8227;1.0724;1.3181;-3.0438;0.03604;-0.48456;-0.45055;0.066403
591_Conorete_pourtalesi;Cp.7;CAO_591;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;5.9339;-0.31024;1.6278;2.9608;4.2024;-3.4591;5.3594;-6.5949
592_Conorete_pourtalesi;Cp.8;CAO_592;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;6.271;2.1717;0.16724;-0.22616;-0.77944;-6.8284;-3.6611;-10.231
593_Verrucocoeloidea_liberatorii;Vl.10;CAO_593;194;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;4.8634;-2.0742;-9.4924;-8.2908;-3.9452;4.9795;-0.41249;-3.1456
594_Dictyoplax_lecus;Dl.6;CAO_594;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;5.2792;-0.031012;2.2966;2.8106;3.9214;6.0334;-2.018;-8.4553
